סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,סמל ישוב קלפי,שם ישוב קלפי,סמל רחוב קלפי,שם רחוב קלפי,מס' בית,מקום קלפי,סווג מקום,מחוז
5000,תל אביב - יפו,1.0,086,"עשהאל,3 ",5000,תל אביב - יפו,321,עשהאל,3,"בי""ס צהלה",בית ספר ממלכתי,תא
5000,תל אביב - יפו,3.0,086,"עשהאל,3 ",5000,תל אביב - יפו,321,עשהאל,3,"בי""ס צהלה",בית ספר ממלכתי,תא
5000,תל אביב - יפו,4.0,063,"בית אל,45 ",5000,תל אביב - יפו,373,בית אל,45,"בי""ס משה שרת",בית ספר ממלכתי,תא
5000,תל אביב - יפו,5.0,036,"קהילת ורשה,12 ",5000,תל אביב - יפו,230,קהילת ורשה,12,"בי""ס דוד ילין",בית ספר ממלכתי,תא
5000,תל אביב - יפו,6.0,171,"רמה,5 ",5000,תל אביב - יפו,374,רמה,5,מרכז יום לקשיש,מועדון קשישים,תא
5000,תל אביב - יפו,7.0,054,"עולי הגרדום,7 ",5000,תל אביב - יפו,345,עולי הגרדום,7,"בי""ס ישגב",בית ספר ממלכתי,תא
5000,תל אביב - יפו,8.0,173,"עולי הגרדום,50 ",5000,תל אביב - יפו,345,עולי הגרדום,50,"מתנ""ס בית קמחי","מתנ""ס/מועדון נוער",תא
5000,תל אביב - יפו,9.0,173,"עולי הגרדום,50 ",5000,תל אביב - יפו,345,עולי הגרדום,50,"מתנ""ס בית קמחי","מתנ""ס/מועדון נוער",תא
5000,תל אביב - יפו,10.0,054,"עולי הגרדום,7 ",5000,תל אביב - יפו,345,עולי הגרדום,7,"בי""ס ישגב",בית ספר ממלכתי,תא
5000,תל אביב - יפו,11.0,066,"תבואות הארץ,11 ",5000,תל אביב - יפו,331,תבואות הארץ,11,"בי""ס תיכון עירוני יד",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,12.0,122,"ק""ם,65 ",5000,תל אביב - יפו,349,"ק""ם",65,"בי""ס רמת החי""ל",בית ספר ממלכתי,תא
5000,תל אביב - יפו,13.0,063,"בית אל,45 ",5000,תל אביב - יפו,373,בית אל,45,"בי""ס משה שרת",בית ספר ממלכתי,תא
5000,תל אביב - יפו,14.0,172,"דבורה הנביאה,85 ",5000,תל אביב - יפו,367,דבורה הנביאה,85,"בי""ס יסודי התורה א'","תלמוד תורה (ת""ת)",תא
5000,תל אביב - יפו,15.0,172,"דבורה הנביאה,85 ",5000,תל אביב - יפו,367,דבורה הנביאה,85,"בי""ס יסודי התורה א'","תלמוד תורה (ת""ת)",תא
5000,תל אביב - יפו,16.0,171,"רמה,5 ",5000,תל אביב - יפו,374,רמה,5,מרכז יום לקשיש,מועדון קשישים,תא
5000,תל אביב - יפו,17.0,171,"רמה,5 ",5000,תל אביב - יפו,374,רמה,5,מרכז יום לקשיש,מועדון קשישים,תא
5000,תל אביב - יפו,18.0,121,"אבנר,1 ",5000,תל אביב - יפו,313,אבנר,1,מועדון נוער צהלה,"מתנ""ס/מועדון נוער",תא
5000,תל אביב - יפו,19.0,121,"אבנר,1 ",5000,תל אביב - יפו,313,אבנר,1,מועדון נוער צהלה,"מתנ""ס/מועדון נוער",תא
5000,תל אביב - יפו,20.0,171,"רמה,5 ",5000,תל אביב - יפו,374,רמה,5,מרכז יום לקשיש,מועדון קשישים,תא
5000,תל אביב - יפו,21.0,063,"בית אל,45 ",5000,תל אביב - יפו,373,בית אל,45,"בי""ס משה שרת",בית ספר ממלכתי,תא
5000,תל אביב - יפו,22.0,086,"עשהאל,3 ",5000,תל אביב - יפו,321,עשהאל,3,"בי""ס צהלה",בית ספר ממלכתי,תא
5000,תל אביב - יפו,23.0,121,"אבנר,1 ",5000,תל אביב - יפו,313,אבנר,1,מועדון נוער צהלה,"מתנ""ס/מועדון נוער",תא
5000,תל אביב - יפו,24.0,066,"תבואות הארץ,11 ",5000,תל אביב - יפו,331,תבואות הארץ,11,"בי""ס תיכון עירוני יד",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,25.0,066,"תבואות הארץ,11 ",5000,תל אביב - יפו,331,תבואות הארץ,11,"בי""ס תיכון עירוני יד",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,26.0,066,"תבואות הארץ,11 ",5000,תל אביב - יפו,331,תבואות הארץ,11,"בי""ס תיכון עירוני יד",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,27.0,066,"תבואות הארץ,11 ",5000,תל אביב - יפו,331,תבואות הארץ,11,"בי""ס תיכון עירוני יד",בית ספר תיכון עירוני,תא
5000,תל אביב - יפו,28.0,066,"תבואות הארץ,11 ",5000,תל אביב - יפו,331,תבואות הארץ,11,"בי""ס תיכון עירוני יד",בית ספר תיכון עירוני,תא
